GeneID	Fitted.with.Significant.Coefficients	Fitted.with.Significant.Coefficients.No.Limma
ENSG00000094804	0.2288311	1.8483152
ENSG00000094880	-0.0776343	-0.0970429
ENSG00000094975	-0.0776343	-0.0970429
ENSG00000095002	1.0318592	2.9930075
ENSG00000095139	-0.0776343	-0.0970429
ENSG00000095203	-1.7235488	-0.8766260
ENSG00000095261	-0.0776343	-0.0970429
ENSG00000095370	-3.0358194	-2.2452026
ENSG00000095564	0.1304241	1.7241905
ENSG00000095574	-0.0776343	-0.0970429
ENSG00000095587	-1.8698404	-0.9663629
ENSG00000095713	-13.8853300	-15.0078993
ENSG00000095752	7.2539694	10.5635624
ENSG00000096063	-0.0776343	-0.0970429
ENSG00000096696	-2.8483761	-3.5604701
ENSG00000096746	-0.0776343	-0.0970429
ENSG00000096996	-2.7496883	-1.7512191
ENSG00000097033	-0.0776343	-0.0970429
ENSG00000099139	-0.2060272	-0.2575340
ENSG00000099194	-1.3368281	-0.0751212
ENSG00000099204	-2.3651039	-2.9563798
ENSG00000099219	1.1712935	3.1654344
ENSG00000099246	-0.0776343	-0.0970429
ENSG00000099256	-0.2060272	-0.2575340
ENSG00000099260	-3.1676946	-2.4403814
ENSG00000099282	-2.0328515	-0.9315018
ENSG00000099338	-3.1309608	-2.1977732
ENSG00000099341	-0.0776343	-0.0970429
ENSG00000099715	-1.3860797	0.0000000
ENSG00000099783	-0.0776343	-0.0970429
ENSG00000099840	-1.8719438	-0.8809624
ENSG00000099953	-2.7555114	-3.4443893
ENSG00000099954	-2.0007302	-2.5009127
ENSG00000099998	-22.6379640	-26.3612819
ENSG00000100027	-0.0776343	-0.0970429
ENSG00000100033	-1.3612712	-1.7015890
ENSG00000100055	-5.9728406	-6.3778481
ENSG00000100060	-1.3860797	0.0000000
ENSG00000100079	-1.8326622	-0.8546696
ENSG00000100122	-1.7705726	-0.9226755
ENSG00000100129	-1.8269044	-2.2836305
ENSG00000100162	1.5461050	3.6261452
ENSG00000100167	-2.3916697	-2.9895871
ENSG00000100181	-3.8456938	-3.1041826
ENSG00000100197	-1.8525173	-0.8644436
ENSG00000100209	-0.0776343	-0.0970429
ENSG00000100221	-0.0776343	-0.0970429
ENSG00000100234	-0.4175452	-0.5219315
ENSG00000100253	-1.3860797	0.0000000
ENSG00000100281	-0.0776343	-0.0970429
ENSG00000100302	-1.6464434	-0.8770685
ENSG00000100311	-3.2750798	-2.5805735
ENSG00000100312	-1.3860797	0.0000000
ENSG00000100335	-0.0776343	-0.0970429
ENSG00000100336	-4.7772398	-4.1498666
